Relations,URL
Hy,https://res.cloudinary.com/dfph32nsq/video/upload/v1730113627/hy_ewk653.mp4
Hi,https://res.cloudinary.com/dfph32nsq/video/upload/v1730113627/hy_ewk653.mp4
Good Bye,https://res.cloudinary.com/dfph32nsq/video/upload/v1730113628/good_bye_fdlupb.mp4
Namaste,https://res.cloudinary.com/dfph32nsq/video/upload/v1730113630/namaste_ywacpg.mp4
Welcome,https://res.cloudinary.com/dfph32nsq/video/upload/v1730113634/welcome_rnwqkq.mp4
Book,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558926/book_l_eike3i.mp4
School,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558925/school_l_t98bdl.mp4
Lunch,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558924/lunch_l_z6h5il.mp4
Hands,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558924/hands_l_pvatyv.mp4
Morning,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558922/morning_l_x5lnsf.mp4
Deaf,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558921/deaf_l_k2eicr.mp4
Tea,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558920/tea_l_oetesc.mp4
Office,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558920/office_l_svsjwl.mp4
Breakfast,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558921/breakfast_l_udba1y.mp4
Dinner,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558922/dinner_l_zlsyq2.mp4
Market,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558922/market_l_sdnjwt.mp4
Work,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558849/work_l_ik2ynw.mp4
Home,https://res.cloudinary.com/dfph32nsq/video/upload/v1731410106/Home_labelled_poqrcy.mp4
Aeroplane,https://res.cloudinary.com/dfph32nsq/video/upload/v1731410106/Aeroplane_labelled_wolg5v.mp4
Fish,https://res.cloudinary.com/dfph32nsq/video/upload/v1731410107/Fish_labelled_rp6asv.mp4
Student,https://res.cloudinary.com/dfph32nsq/video/upload/v1731410107/Student_labelled_otumhu.mp4
Teacher,https://res.cloudinary.com/dfph32nsq/video/upload/v1731410108/Teacher_labelled_q1bvpw.mp4
India,https://res.cloudinary.com/dfph32nsq/video/upload/v1731410108/India_labelled_e7hc14.mp4
Birds,https://res.cloudinary.com/dfph32nsq/video/upload/v1731410116/Birds_labelled_v8ajkw.mp4
Egg,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891814/egg_labelled_rbsv4f.mp4
Floor,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891814/floor_labelled_fjthev.mp4
Moon,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891815/moon_labelled_byw2uu.mp4
Water,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891815/water_labelled_jvqbfn.mp4
Table,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891816/table_labelled_etlhjx.mp4
Tree,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891816/tree_labelled_hv7mof.mp4
Bus,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891817/bus_labelled_a7licg.mp4
Car,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891818/car_labelled_cnxsxu.mp4
Cricket,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891820/cricket_labelled_angypw.mp4
Flower,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891821/flower_labelled_tunlpp.mp4
Shirt,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891822/shirt_labelled_hjsiqp.mp4
Chair,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891823/chair_labelled_n5xjbi.mp4
Shoes,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891823/shoes_labelled_wutejf.mp4
Coffee,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891824/office_labelled_fs8b2y.mp4
Sun,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891825/sun_labelled_hzawsr.mp4
Mirror,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891827/mirror_labelled_gpodlh.mp4
Garden,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891828/garden_labelled_ksjalq.mp4
Train,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891830/train_labelled_xm0azf.mp4
Delhi,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891829/Delhi_labelled_cd9nuv.mp4
Football,https://res.cloudinary.com/dfph32nsq/video/upload/v1734891832/football_labelled_prpmvf.mp4
I (Pronoun),https://res.cloudinary.com/dfph32nsq/video/upload/v1730558959/I_l_yyecwh.mp4
You,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558961/you_l_azwpnx.mp4
He,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558958/he_l_baxnwe.mp4
She,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558962/she_l_c43uu8.mp4
It,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558956/it_l_qc8pzw.mp4
We,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558969/we_l_wbytyb.mp4
They,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558957/they_l_hgsvu0.mp4
My,https://res.cloudinary.com/dfph32nsq/video/upload/v1731410342/My_labelled_a5i37x.mp4
Come,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558848/come_l_xxndp7.mp4
Eat,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558848/eat_l_kqflhk.mp4
Drink,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558848/drink_l_qcxtet.mp4
Read,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558848/read_l_pdsx7g.mp4
Write,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558847/write_l_i7jrlt.mp4
Sleep,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558848/sleep_l_wej9uh.mp4
Walk,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558851/walk_l_urzxqn.mp4
Talk,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558849/talk_l_zurskm.mp4
Wake Up,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558849/wake_up_l_o1upds.mp4
Finish,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558848/finish_l_vl1692.mp4
Use,https://res.cloudinary.com/dfph32nsq/video/upload/v1730558849/use_l_nwwifk.mp4
Cook,https://res.cloudinary.com/dfph32nsq/video/upload/v1730559387/cook_l_tao1wz.mp4
Wash,https://res.cloudinary.com/dfph32nsq/video/upload/v1731409737/Wash_labelled_jvhgir.mp4
Fly,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890135/fly__labelled_j9xcbb.mp4
Give,https://res.cloudinary.com/dfph32nsq/video/upload/v1731409738/Give_labelled_n99bii.mp4
Catch,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890133/catch_labelled_p3cske.mp4
Cry,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890134/cry_labelled_imopdy.mp4
Wear,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890135/wear_labelled_hq6leo.mp4
Grow,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890136/grow_labelled_kfenxp.mp4
Drive,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890137/drive_labelled_ucmbgh.mp4
Sing,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890137/sing_labelled_x6vmao.mp4
Clean,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890138/clean_labelled_odui5v.mp4
Wait,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890138/wait_labelled_apa5d1.mp4
Jump,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890138/jump_labelled_djtf90.mp4
Listen,https://res.cloudinary.com/dfph32nsq/video/upload/v1734890139/listen_labelled_oqridg.mp4
